dt_s,code,energy_J
-1e-11,0,-1
-9e-12,0,-1
-8e-12,0,-1
-7e-12,0,-1
-6e-12,0,-1
-5e-12,0,-1
-4e-12,0,-1
-3e-12,0,-1
-2e-12,0,-1
-1e-12,0,-1
0,0,-1
1e-12,0,-1
2e-12,0,-1
3e-12,0,-1
4e-12,0,-1
5e-12,0,-1
6e-12,0,-1
7e-12,0,-1
8e-12,0,-1
9e-12,0,-1
1e-11,0,-1
1.1e-11,0,-1
1.2e-11,0,-1
1.3e-11,0,-1
1.4e-11,0,-1
1.5e-11,0,-1
1.6e-11,0,-1
1.7e-11,0,-1
1.8e-11,0,-1
1.9e-11,0,-1
2e-11,0,-1
2.1e-11,0,-1
2.2e-11,0,-1
2.3e-11,0,-1
2.4e-11,0,-1
2.5e-11,0,-1
2.6e-11,0,-1
2.7e-11,0,-1
2.8e-11,0,-1
2.9e-11,0,-1
3e-11,0,-1
3.1e-11,0,-1
3.2e-11,0,-1
3.3e-11,0,-1
3.4e-11,0,-1
3.5e-11,0,-1
3.6e-11,0,-1
3.7e-11,0,-1
3.8e-11,0,-1
3.9e-11,0,-1
4e-11,0,-1
4.1e-11,0,-1
4.2e-11,0,-1
4.3e-11,0,-1
4.4e-11,0,-1
4.5e-11,0,-1
4.6e-11,0,-1
4.7e-11,0,-1
4.8e-11,0,-1
4.9e-11,0,-1
5e-11,0,-1
5.1e-11,0,-1
5.2e-11,0,-1
5.3e-11,0,-1
5.4e-11,0,-1
5.5e-11,0,-1
5.6e-11,0,-1
5.7e-11,0,-1
5.8e-11,0,-1
5.9e-11,1,-1
6e-11,1,-1
6.1e-11,1,-1
6.2e-11,2,-1
6.3e-11,2,-1
6.4e-11,2,-1
6.5e-11,2,-1
6.6e-11,2,-1
6.7e-11,2,-1
6.8e-11,2,-1
6.9e-11,2,-1
7e-11,2,-1
7.1e-11,2,-1
7.2e-11,2,-1
7.3e-11,2,-1
7.4e-11,2,-1
7.5e-11,2,-1
7.6e-11,2,-1
7.7e-11,2,-1
7.8e-11,2,-1
7.9e-11,2,-1
8e-11,2,-1
8.1e-11,2,-1
8.2e-11,2,-1
8.3e-11,2,-1
8.4e-11,2,-1
8.5e-11,2,-1
8.6e-11,2,-1
8.7e-11,2,-1
8.8e-11,2,-1
8.9e-11,2,-1
9e-11,2,-1
9.1e-11,2,-1
9.2e-11,2,-1
9.3e-11,3,-1
9.4e-11,3,-1
9.5e-11,3,-1
9.6e-11,3,-1
9.7e-11,3,-1
9.8e-11,3,-1
9.9e-11,3,-1
1e-10,3,-1
1.01e-10,3,-1
1.02e-10,3,-1
1.03e-10,3,-1
1.04e-10,3,-1
1.05e-10,3,-1
1.06e-10,3,-1
1.07e-10,3,-1
1.08e-10,3,-1
1.09e-10,3,-1
1.1e-10,3,-1
1.11e-10,3,-1
1.12e-10,3,-1
1.13e-10,3,-1
1.14e-10,3,-1
1.15e-10,3,-1
1.16e-10,3,-1
1.17e-10,3,-1
1.18e-10,3,-1
1.19e-10,3,-1
1.2e-10,3,-1
1.21e-10,3,-1
1.22e-10,3,-1
1.23e-10,3,-1
1.24e-10,3,-1
1.25e-10,3,-1
1.26e-10,3,-1
1.27e-10,4,-1
1.28e-10,4,-1
1.29e-10,4,-1
1.3e-10,4,-1
1.31e-10,4,-1
1.32e-10,4,-1
1.33e-10,4,-1
1.34e-10,4,-1
1.35e-10,4,-1
1.36e-10,4,-1
1.37e-10,4,-1
1.38e-10,4,-1
1.39e-10,4,-1
1.4e-10,4,-1
1.41e-10,4,-1
1.42e-10,4,-1
1.43e-10,4,-1
1.44e-10,4,-1
1.45e-10,4,-1
1.46e-10,4,-1
1.47e-10,4,-1
1.48e-10,4,-1
1.49e-10,4,-1
1.5e-10,4,-1
1.51e-10,4,-1
1.52e-10,4,-1
1.53e-10,4,-1
1.54e-10,4,-1
1.55e-10,4,-1
1.56e-10,4,-1
1.57e-10,4,-1
1.58e-10,4,-1
1.59e-10,4,-1
1.6e-10,5,-1
1.61e-10,5,-1
1.62e-10,5,-1
1.63e-10,5,-1
1.64e-10,5,-1
1.65e-10,5,-1
1.66e-10,5,-1
1.67e-10,5,-1
1.68e-10,5,-1
1.69e-10,5,-1
1.7e-10,5,-1
1.71e-10,5,-1
1.72e-10,5,-1
1.73e-10,5,-1
1.74e-10,5,-1
1.75e-10,5,-1
1.76e-10,5,-1
1.77e-10,5,-1
1.78e-10,5,-1
1.79e-10,5,-1
1.8e-10,5,-1
1.81e-10,5,-1
1.82e-10,5,-1
1.83e-10,5,-1
1.84e-10,5,-1
1.85e-10,5,-1
1.86e-10,5,-1
1.87e-10,5,-1
1.88e-10,5,-1
1.89e-10,5,-1
1.9e-10,5,-1
1.91e-10,5,-1
1.92e-10,5,-1
1.93e-10,5,-1
1.94e-10,6,-1
1.95e-10,6,-1
1.96e-10,6,-1
1.97e-10,6,-1
1.98e-10,6,-1
1.99e-10,6,-1
2e-10,6,-1
2.01e-10,6,-1
2.02e-10,6,-1
2.03e-10,6,-1
2.04e-10,6,-1
2.05e-10,6,-1
2.06e-10,6,-1
2.07e-10,6,-1
2.08e-10,6,-1
2.09e-10,6,-1
2.1e-10,6,-1
2.11e-10,6,-1
2.12e-10,6,-1
2.13e-10,6,-1
2.14e-10,6,-1
2.15e-10,6,-1
2.16e-10,6,-1
2.17e-10,6,-1
2.18e-10,6,-1
2.19e-10,6,-1
2.2e-10,6,-1
2.21e-10,6,-1
2.22e-10,6,-1
2.23e-10,6,-1
2.24e-10,6,-1
2.25e-10,6,-1
2.26e-10,6,-1
2.27e-10,6,-1
2.28e-10,7,-1
2.29e-10,7,-1
2.3e-10,7,-1
2.31e-10,7,-1
2.32e-10,7,-1
2.33e-10,7,-1
2.34e-10,7,-1
2.35e-10,7,-1
2.36e-10,7,-1
2.37e-10,7,-1
2.38e-10,7,-1
2.39e-10,7,-1
2.4e-10,7,-1
2.41e-10,7,-1
2.42e-10,7,-1
2.43e-10,7,-1
2.44e-10,7,-1
2.45e-10,7,-1
2.46e-10,7,-1
2.47e-10,7,-1
2.48e-10,7,-1
2.49e-10,7,-1
2.5e-10,7,-1
2.51e-10,7,-1
2.52e-10,7,-1
2.53e-10,7,-1
2.54e-10,7,-1
2.55e-10,7,-1
2.56e-10,7,-1
2.57e-10,7,-1
2.58e-10,7,-1
2.59e-10,8,-1
2.6e-10,8,-1
2.61e-10,8,-1
2.62e-10,8,-1
2.63e-10,8,-1
2.64e-10,8,-1
2.65e-10,8,-1
2.66e-10,8,-1
2.67e-10,8,-1
2.68e-10,8,-1
2.69e-10,8,-1
2.7e-10,8,-1
2.71e-10,8,-1
2.72e-10,8,-1
2.73e-10,8,-1
2.74e-10,8,-1
2.75e-10,8,-1
2.76e-10,8,-1
2.77e-10,8,-1
2.78e-10,8,-1
2.79e-10,8,-1
2.8e-10,8,-1
2.81e-10,8,-1
2.82e-10,8,-1
2.83e-10,8,-1
2.84e-10,8,-1
2.85e-10,8,-1
2.86e-10,8,-1
2.87e-10,8,-1
2.88e-10,8,-1
2.89e-10,8,-1
2.9e-10,8,-1
2.91e-10,8,-1
2.92e-10,8,-1
2.93e-10,8,-1
2.94e-10,8,-1
2.95e-10,8,-1
2.96e-10,8,-1
2.97e-10,8,-1
2.98e-10,8,-1
2.99e-10,8,-1
3e-10,8,-1
3.01e-10,8,-1
3.02e-10,8,-1
3.03e-10,8,-1
3.04e-10,8,-1
3.05e-10,8,-1
3.06e-10,8,-1
3.07e-10,8,-1
3.08e-10,8,-1
3.09e-10,8,-1
3.1e-10,8,-1
